dest_ip,dest_port,metadata_comment
192.111.139.165,4145,proxylist.txt
184.181.217.194,4145,proxylist.txt
184.181.217.213,4145,proxylist.txt
184.178.172.28,15294,proxylist.txt
24.249.199.4,4145,proxylist.txt
185.149.240.155,1080,proxylist.txt
128.140.113.110,5678,proxylist.txt
96.113.159.162,80,proxylist.txt
211.128.96.206,80,proxylist.txt
174.77.111.198,49547,proxylist.txt
101.109.122.174,8180,proxylist.txt
139.155.243.8,4330,proxylist.txt
72.195.34.35,27360,proxylist.txt
192.111.137.34,18765,proxylist.txt
108.162.192.133,80,proxylist.txt
141.101.113.100,80,proxylist.txt
108.162.192.0,80,proxylist.txt
108.162.192.136,80,proxylist.txt
108.162.192.123,80,proxylist.txt
170.114.45.122,80,proxylist.txt
69.84.182.106,80,proxylist.txt
170.114.45.0,80,proxylist.txt
192.252.208.70,14282,proxylist.txt
218.188.156.138,3128,proxylist.txt
172.65.90.0,80,proxylist.txt
37.18.73.60,5566,proxylist.txt
160.25.8.131,11011,proxylist.txt
103.216.253.50,20000,proxylist.txt
143.110.217.153,1080,proxylist.txt
184.178.172.11,4145,proxylist.txt
184.178.172.17,4145,proxylist.txt
184.181.217.220,4145,proxylist.txt
65.109.27.32,1080,proxylist.txt
219.154.210.157,9999,proxylist.txt
188.114.97.1,80,proxylist.txt
138.59.165.85,1025,proxylist.txt
128.199.202.122,3128,proxylist.txt
138.68.60.8,8080,proxylist.txt
108.162.198.121,80,proxylist.txt
172.65.90.1,80,proxylist.txt
172.65.90.2,80,proxylist.txt
113.204.79.230,9091,proxylist.txt
108.162.199.219,80,proxylist.txt
172.64.78.69,80,proxylist.txt
172.67.181.106,80,proxylist.txt
18.216.55.100,80,proxylist.txt
34.194.41.221,80,proxylist.txt
172.67.229.34,80,proxylist.txt
23.227.38.125,80,proxylist.txt
172.67.169.199,80,proxylist.txt
103.21.244.18,80,proxylist.txt
58.216.109.17,800,proxylist.txt
67.201.39.14,4145,proxylist.txt
58.241.88.18,800,proxylist.txt
146.56.162.25,80,proxylist.txt
172.64.33.102,80,proxylist.txt
43.135.36.240,6555,proxylist.txt
128.199.202.122,80,proxylist.txt
159.203.61.169,8080,proxylist.txt
172.65.90.3,80,proxylist.txt
113.108.13.120,8083,proxylist.txt
172.65.90.46,80,proxylist.txt
108.162.199.109,80,proxylist.txt
172.64.78.163,80,proxylist.txt
141.101.121.76,80,proxylist.txt
141.101.120.76,80,proxylist.txt
185.162.228.84,80,proxylist.txt
103.72.89.27,8097,proxylist.txt
185.191.236.162,3128,proxylist.txt
45.188.125.232,8080,proxylist.txt
98.170.57.241,4145,proxylist.txt
172.67.92.11,80,proxylist.txt
203.95.199.159,8080,proxylist.txt
212.127.95.235,8081,proxylist.txt
172.67.181.146,80,proxylist.txt
39.185.41.193,5911,proxylist.txt
58.216.109.14,800,proxylist.txt
159.203.61.169,3128,proxylist.txt
218.77.183.214,5224,proxylist.txt
36.138.53.26,10019,proxylist.txt
172.65.90.0,80,proxylist.txt
141.101.90.109,80,proxylist.txt
47.57.13.107,80,proxylist.txt
13.230.34.30,80,proxylist.txt
108.162.199.195,80,proxylist.txt
65.1.148.157,80,proxylist.txt
172.64.78.71,80,proxylist.txt
172.64.78.193,80,proxylist.txt
66.42.224.229,41679,proxylist.txt
34.41.115.197,3128,proxylist.txt
67.201.33.10,25283,proxylist.txt
173.245.59.175,80,proxylist.txt
172.67.138.131,80,proxylist.txt
141.101.121.103,80,proxylist.txt
172.67.192.25,80,proxylist.txt
103.21.244.191,80,proxylist.txt
61.186.243.6,9002,proxylist.txt
153.0.171.163,8085,proxylist.txt
43.135.36.240,80,proxylist.txt
172.64.32.87,80,proxylist.txt
66.235.200.127,80,proxylist.txt
23.227.38.248,80,proxylist.txt
23.227.38.88,80,proxylist.txt
36.110.143.55,8080,proxylist.txt
110.242.70.68,443,proxylist.txt
88.198.212.91,3128,proxylist.txt
89.43.31.134,3128,proxylist.txt
172.65.90.3,80,proxylist.txt
66.235.200.106,80,proxylist.txt
103.147.246.140,8080,proxylist.txt
79.110.202.184,8081,proxylist.txt
142.54.237.38,4145,proxylist.txt
141.101.123.209,80,proxylist.txt
172.67.180.102,80,proxylist.txt
199.34.228.73,80,proxylist.txt
108.162.193.100,80,proxylist.txt
45.131.7.101,80,proxylist.txt
188.114.96.55,80,proxylist.txt
103.21.244.102,80,proxylist.txt
185.162.228.204,80,proxylist.txt
173.245.49.35,80,proxylist.txt
103.106.115.145,8080,proxylist.txt
103.85.159.150,19201,proxylist.txt
103.126.87.134,8086,proxylist.txt
103.25.210.102,348,proxylist.txt
193.43.140.82,8080,proxylist.txt
103.140.235.38,8080,proxylist.txt
103.236.142.18,8080,proxylist.txt
172.67.179.200,80,proxylist.txt
141.101.120.24,80,proxylist.txt
141.101.123.14,80,proxylist.txt
108.162.194.129,80,proxylist.txt
45.131.6.131,80,proxylist.txt
45.131.208.69,80,proxylist.txt
103.219.73.51,8097,proxylist.txt
203.207.56.23,8080,proxylist.txt
177.11.67.161,8999,proxylist.txt
202.5.36.152,1628,proxylist.txt
103.181.255.156,8080,proxylist.txt
187.188.15.249,8080,proxylist.txt
190.60.37.245,999,proxylist.txt
148.113.172.51,8080,proxylist.txt
103.199.215.43,6262,proxylist.txt
103.99.175.23,8080,proxylist.txt
72.223.188.67,4145,proxylist.txt
184.170.251.30,11288,proxylist.txt
185.238.228.81,80,proxylist.txt
45.131.6.183,80,proxylist.txt
103.21.244.197,80,proxylist.txt
45.85.118.149,80,proxylist.txt
184.181.178.33,4145,proxylist.txt
172.64.78.198,80,proxylist.txt
23.227.39.120,80,proxylist.txt
23.227.39.114,80,proxylist.txt
108.162.199.141,80,proxylist.txt
185.238.228.33,80,proxylist.txt
141.101.121.125,80,proxylist.txt
72.223.188.92,4145,proxylist.txt
68.71.243.14,4145,proxylist.txt
125.228.94.153,4145,proxylist.txt
23.227.39.122,80,proxylist.txt
208.102.51.6,58208,proxylist.txt
172.64.149.61,80,proxylist.txt
141.101.120.133,80,proxylist.txt
103.169.142.127,80,proxylist.txt
108.162.198.27,80,proxylist.txt
172.64.149.72,80,proxylist.txt
198.177.252.24,4145,proxylist.txt
31.42.2.113,5678,proxylist.txt
198.177.254.131,4145,proxylist.txt
192.104.242.158,4145,proxylist.txt
184.182.240.211,4145,proxylist.txt
72.206.74.126,4145,proxylist.txt
98.182.147.97,4145,proxylist.txt
98.190.239.3,4145,proxylist.txt
72.195.34.60,27391,proxylist.txt
192.111.137.35,4145,proxylist.txt
184.178.172.13,15311,proxylist.txt
47.237.169.183,1080,proxylist.txt
91.193.58.192,80,proxylist.txt
188.114.96.203,80,proxylist.txt
108.162.198.246,80,proxylist.txt
108.162.198.73,80,proxylist.txt
70.166.65.160,4145,proxylist.txt
98.178.72.30,4145,proxylist.txt
68.71.251.134,4145,proxylist.txt
141.101.115.244,80,proxylist.txt
185.238.228.182,80,proxylist.txt
172.67.179.208,80,proxylist.txt
170.114.46.124,80,proxylist.txt
83.222.18.141,8888,proxylist.txt
45.67.215.40,80,proxylist.txt
108.162.195.110,80,proxylist.txt
89.116.250.136,80,proxylist.txt
