metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1763476579.126,elite,141.17590375283,1761068118.5152,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764697544,1765216796.5535,80,http,102.177.176.239:80,False,56.238412857056,27412,594,97.879025923016,102.177.176.239
True,1765016014.5973,elite,116.63029520853,1742335951.8068,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663732,1765216796.5351,80,http,102.177.176.154:80,False,83.489418029785,93010,2154,97.736539027363,102.177.176.154
True,1763476373.7509,elite,115.22331656044,1742451036.5162,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764663494,1765216796.0792,80,http,216.205.52.123:80,False,76.059818267822,95848,3463,96.512974393572,216.205.52.123
True,1765081980.7918,elite,115.17795876114,1720501822.6421,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764663267,1765216796.0592,80,http,108.162.193.190:80,False,35.366296768188,98786,2113,97.905826618698,108.162.193.190
True,1764991575.8691,elite,115.14369585466,1742614087.6947,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764663581,1765216795.9301,80,http,69.84.182.203:80,False,78.965663909912,98629,3207,96.850818963824,69.84.182.203
True,1765087679.1026,elite,141.05236733252,1761068444.8885,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764697820,1765216795.8986,80,http,8.35.211.145:80,False,292.94323921204,29254,95,99.676309243927,8.35.211.145
True,1763480795.7923,elite,115.20114109076,1720456941.5146,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764663720,1765216795.8621,80,http,108.162.192.194:80,False,369.98605728149,98679,2502,97.527203724019,108.162.192.194
True,1764991210.7615,elite,146.96798732778,1764740859.5441,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764740859,1765216795.849,80,http,8.35.211.49:80,False,73.151111602783,3119,1,99.967948717949,8.35.211.49
True,1765206201.0595,elite,162.39579755868,1765206201.0595,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765206201,1765216795.6085,80,http,141.101.113.175:80,False,598.94728660583,67,0,100.0,141.101.113.175
True,1763481456.3276,elite,116.09321895723,1742499786.3812,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764663709,1765216795.3553,80,http,216.205.52.42:80,False,63.772916793823,95841,946,99.022596009795,216.205.52.42
