dest_nt_domain,dest_port,dest_ip
co-bog.prod.surfshark.com,1443,149.88.111.135
sg-sng.prod.surfshark.com,1194,151.240.33.28
lu-ste.prod.surfshark.com,1194,185.153.151.176
us-sjc.prod.surfshark.com,1194,156.146.54.201
me-tgd.prod.surfshark.com,1443,62.197.159.18
mc-mcm.prod.surfshark.com,1194,62.197.151.36
be-anr.prod.surfshark.com,1194,103.109.244.94
gl-goh.prod.surfshark.com,1443,92.62.123.85
us-kan.prod.surfshark.com,1443,74.80.182.97
us-clt.prod.surfshark.com,1443,198.37.111.133
az-bak.prod.surfshark.com,1194,23.27.110.37
bz-blp.prod.surfshark.com,1194,212.119.33.34
pa-pac.prod.surfshark.com,1443,185.244.139.83
sa-ruh.prod.surfshark.com,1443,45.150.5.20
us-las.prod.surfshark.com,1194,79.110.54.93
pt-lis.prod.surfshark.com,1443,185.92.210.135
lu-ste.prod.surfshark.com,1443,185.153.151.176
hr-zag.prod.surfshark.com,1443,149.102.247.137
la-vte.prod.surfshark.com,1194,194.169.168.17
us-las.prod.surfshark.com,1443,79.110.54.93
au-adl.prod.surfshark.com,1443,103.214.20.187
az-bak.prod.surfshark.com,1443,23.27.110.37
us-ltm.prod.surfshark.com,1443,170.39.214.227
cr-sjn.prod.surfshark.com,1194,176.227.241.68
my-kul.prod.surfshark.com,1443,152.233.3.54
it-rom.prod.surfshark.com,1443,37.120.207.203
us-bos.prod.surfshark.com,1194,43.225.189.118
ch-zur.prod.surfshark.com,1443,84.17.53.219
br-sao.prod.surfshark.com,1194,138.199.58.39
lv-rig.prod.surfshark.com,1194,80.246.31.98
cy-nic.prod.surfshark.com,1194,193.19.204.74
us-clt.prod.surfshark.com,1194,66.11.124.174
vn-hcm.prod.surfshark.com,1194,83.97.112.22
br-sao.prod.surfshark.com,1443,138.199.58.39
cl-san.prod.surfshark.com,1194,149.88.104.34
es-vlc.prod.surfshark.com,1443,193.19.207.102
ad-leu.prod.surfshark.com,1443,62.197.152.179
pt-lis.prod.surfshark.com,1194,185.92.210.135
us-oma.prod.surfshark.com,1443,145.223.7.46
ph-mnl.prod.surfshark.com,1194,23.27.183.25
bs-nas.prod.surfshark.com,1443,62.197.145.36
pt-opo.prod.surfshark.com,1443,103.192.205.60
us-ltm.prod.surfshark.com,1194,170.39.214.229
bo-sre.prod.surfshark.com,1194,194.169.171.34
kr-seo.prod.surfshark.com,1443,93.152.212.61
gh-acc.prod.surfshark.com,1443,102.218.100.117
ve-car.prod.surfshark.com,1194,45.149.3.20
uk-man.prod.surfshark.com,1443,139.28.176.163
uy-mvd.prod.surfshark.com,1194,212.119.32.20
bg-sof.prod.surfshark.com,1194,37.19.203.78
ge-tbs.prod.surfshark.com,1443,83.97.115.34
sk-bts.prod.surfshark.com,1443,185.76.8.210
us-dtw.prod.surfshark.com,1194,185.141.119.108
es-bcn.prod.surfshark.com,1443,185.188.61.44
us-sjc.prod.surfshark.com,1443,149.36.48.75
is-rkv.prod.surfshark.com,1443,45.139.252.114
sa-ruh.prod.surfshark.com,1194,45.150.5.51
cz-prg.prod.surfshark.com,1194,185.242.6.123
us-phx.prod.surfshark.com,1194,45.86.211.66
ad-leu.prod.surfshark.com,1194,62.197.152.179
ec-uio.prod.surfshark.com,1443,92.62.122.18
am-evn.prod.surfshark.com,1443,92.62.120.133
hu-bud.prod.surfshark.com,1443,79.127.182.2
mm-nyt.prod.surfshark.com,1194,45.95.242.41
ca-tor.prod.surfshark.com,1443,149.88.98.28
ie-dub.prod.surfshark.com,1194,149.34.242.82
bt-pbh.prod.surfshark.com,1443,62.197.157.41
il-tlv.prod.surfshark.com,1194,169.150.227.142
mk-skp.prod.surfshark.com,1443,217.9.244.101
kh-pnh.prod.surfshark.com,1194,62.197.146.24
it-rom.prod.surfshark.com,1194,37.120.207.203
ma-rab.prod.surfshark.com,1443,23.27.214.36
us-oma.prod.surfshark.com,1194,145.223.7.6
ar-bua.prod.surfshark.com,1443,89.117.41.69
in-mum.prod.surfshark.com,1443,176.227.240.48
mt-mla.prod.surfshark.com,1443,193.228.56.132
fi-hel.prod.surfshark.com,1443,193.56.113.68
uz-tas.prod.surfshark.com,1194,94.154.124.83
us-dtw.prod.surfshark.com,1443,185.141.119.108
us-slc.prod.surfshark.com,1443,93.152.220.247
fr-bod.prod.surfshark.com,1194,195.86.24.103
nz-akl.prod.surfshark.com,1443,180.149.231.165
us-bdn.prod.surfshark.com,1194,66.235.168.195
pe-lim.prod.surfshark.com,1443,95.173.223.115
us-sfo.prod.surfshark.com,1194,93.152.210.201
ph-mnl.prod.surfshark.com,1443,23.27.183.27
ec-uio.prod.surfshark.com,1194,92.62.122.20
za-jnb.prod.surfshark.com,1194,154.47.30.108
ba-sjj.prod.surfshark.com,1443,23.27.109.53
ca-mon.prod.surfshark.com,1443,146.70.112.157
us-ash.prod.surfshark.com,1443,45.144.115.138
pk-khi.prod.surfshark.com,1443,151.244.60.24
pk-khi.prod.surfshark.com,1194,151.244.60.24
in-del.prod.surfshark.com,1194,92.62.121.131
lt-vno.prod.surfshark.com,1443,62.197.149.112
