dest_ip,dest_port,metadata_comment
206.123.156.212,5665,proxy.txt
206.123.156.212,7546,proxy.txt
206.123.156.209,5227,proxy.txt
206.123.156.229,4801,proxy.txt
206.123.156.230,11407,proxy.txt
206.123.156.230,8729,proxy.txt
206.123.156.199,7285,proxy.txt
36.50.177.175,1080,proxy.txt
206.123.156.209,9804,proxy.txt
206.123.156.230,7105,proxy.txt
206.123.156.209,5822,proxy.txt
206.123.156.230,5154,proxy.txt
206.123.156.212,4550,proxy.txt
206.123.156.212,4475,proxy.txt
206.123.156.209,5008,proxy.txt
206.123.156.230,7910,proxy.txt
206.123.156.212,4431,proxy.txt
206.123.156.209,5252,proxy.txt
206.123.156.230,5231,proxy.txt
206.123.156.230,5147,proxy.txt
206.123.156.230,9441,proxy.txt
206.123.156.230,8218,proxy.txt
206.123.156.230,9929,proxy.txt
206.123.156.209,7296,proxy.txt
206.123.156.212,6805,proxy.txt
206.123.156.212,4985,proxy.txt
206.123.156.209,6266,proxy.txt
206.123.156.209,5911,proxy.txt
206.123.156.212,4588,proxy.txt
206.123.156.209,9491,proxy.txt
206.123.156.209,4005,proxy.txt
206.123.156.199,7609,proxy.txt
206.123.156.209,6148,proxy.txt
206.123.156.230,9135,proxy.txt
206.123.156.199,7281,proxy.txt
206.123.156.229,4357,proxy.txt
206.123.156.212,5935,proxy.txt
206.123.156.212,5491,proxy.txt
206.123.156.215,7674,proxy.txt
206.123.156.230,10418,proxy.txt
206.123.156.212,4687,proxy.txt
206.123.156.229,4494,proxy.txt
206.123.156.209,9882,proxy.txt
91.132.59.221,1080,proxy.txt
206.123.156.228,13926,proxy.txt
206.123.156.212,6393,proxy.txt
178.208.86.45,1080,proxy.txt
206.123.156.230,10379,proxy.txt
206.123.156.247,6546,proxy.txt
206.123.156.246,5963,proxy.txt
206.123.156.229,5485,proxy.txt
206.123.156.243,4818,proxy.txt
206.123.156.243,4375,proxy.txt
206.123.156.243,5861,proxy.txt
206.123.156.245,5821,proxy.txt
185.204.170.130,84,proxy.txt
123.100.136.11,1080,proxy.txt
92.112.124.123,8443,proxy.txt
45.76.183.4,10080,proxy.txt
103.137.75.65,1081,proxy.txt
43.173.124.23,8081,proxy.txt
206.123.156.215,6267,proxy.txt
206.123.156.243,9197,proxy.txt
74.119.64.44,10080,proxy.txt
144.24.111.128,1088,proxy.txt
147.15.17.132,1083,proxy.txt
206.123.156.240,6612,proxy.txt
144.76.159.120,1081,proxy.txt
206.123.156.247,6978,proxy.txt
206.123.156.246,4922,proxy.txt
206.123.156.246,5280,proxy.txt
206.123.156.228,5315,proxy.txt
206.123.156.209,9802,proxy.txt
206.123.156.245,8318,proxy.txt
206.123.156.228,5066,proxy.txt
167.114.172.208,1088,proxy.txt
206.123.156.199,6344,proxy.txt
206.123.156.228,4451,proxy.txt
206.123.156.236,42433,proxy.txt
206.123.156.217,4178,proxy.txt
206.123.156.236,7680,proxy.txt
3.128.83.74,17000,proxy.txt
206.123.156.199,8358,proxy.txt
144.76.159.120,1090,proxy.txt
206.123.156.247,4934,proxy.txt
206.123.156.229,4706,proxy.txt
206.123.156.215,7371,proxy.txt
206.123.156.245,7548,proxy.txt
206.123.156.233,11554,proxy.txt
206.123.156.229,6054,proxy.txt
144.76.159.120,1083,proxy.txt
206.123.156.229,4239,proxy.txt
144.76.159.120,1085,proxy.txt
144.76.159.120,1088,proxy.txt
206.123.156.199,20169,proxy.txt
206.123.156.229,12961,proxy.txt
206.123.156.230,4730,proxy.txt
191.223.41.137,1080,proxy.txt
182.48.89.163,1080,proxy.txt
45.67.131.229,1080,proxy.txt
206.123.156.228,10778,proxy.txt
185.207.104.161,1080,proxy.txt
144.76.159.120,1082,proxy.txt
206.123.156.217,5400,proxy.txt
206.123.156.215,7953,proxy.txt
206.123.156.228,6445,proxy.txt
206.123.156.215,30355,proxy.txt
144.76.159.120,1100,proxy.txt
206.123.156.215,31268,proxy.txt
206.123.156.228,4789,proxy.txt
192.236.214.27,1080,proxy.txt
152.32.219.123,10808,proxy.txt
117.7.81.125,1111,proxy.txt
206.123.156.228,8366,proxy.txt
206.123.156.228,11463,proxy.txt
152.53.209.196,1080,proxy.txt
206.123.156.245,19365,proxy.txt
206.123.156.217,5841,proxy.txt
206.123.156.199,5795,proxy.txt
206.123.156.228,5947,proxy.txt
117.7.81.125,1082,proxy.txt
206.123.156.217,12825,proxy.txt
185.116.43.3,1088,proxy.txt
117.0.185.18,5000,proxy.txt
107.151.148.153,1080,proxy.txt
206.123.156.217,13733,proxy.txt
206.123.156.215,6013,proxy.txt
206.123.156.240,5311,proxy.txt
51.83.101.177,1080,proxy.txt
178.130.47.50,1081,proxy.txt
94.74.66.91,7890,proxy.txt
89.185.80.250,1081,proxy.txt
130.49.218.165,1081,proxy.txt
84.201.156.8,7890,proxy.txt
89.185.80.251,1081,proxy.txt
178.130.47.23,1081,proxy.txt
185.185.80.58,1088,proxy.txt
206.123.156.228,6718,proxy.txt
206.123.156.217,16744,proxy.txt
125.123.72.41,1081,proxy.txt
206.123.156.215,35987,proxy.txt
194.87.77.123,1088,proxy.txt
206.123.156.215,28784,proxy.txt
206.123.156.228,5974,proxy.txt
107.219.228.250,7777,proxy.txt
202.62.49.65,1080,proxy.txt
110.235.255.252,1080,proxy.txt
110.235.248.81,1080,proxy.txt
110.235.247.248,1080,proxy.txt
59.46.216.131,30001,proxy.txt
104.219.236.127,1080,proxy.txt
185.194.217.97,1080,proxy.txt
124.248.191.117,1080,proxy.txt
202.62.55.95,1080,proxy.txt
174.138.61.184,1080,proxy.txt
202.62.50.222,1080,proxy.txt
47.236.20.209,1145,proxy.txt
203.25.208.163,1100,proxy.txt
194.163.182.6,1080,proxy.txt
203.25.208.163,1145,proxy.txt
